                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3768,                0.60838,                 1.1485,                0.95745,                0.95982,                0.95753,                0.55033,                  1.535,                0.62169,                 1.2631,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.3831,                0.60744,                 1.1434,                0.95976,                0.96117,                0.95465,                0.54429,                 1.5517,                0.61281,                 1.2772,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.3372,                0.62535,                 1.1244,                 0.9556,                0.96766,                0.95524,                0.53516,                 1.5547,                0.62125,                 1.2654,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.3346,                0.59432,                 1.1426,                0.95423,                0.96239,                0.96019,                0.52437,                 1.6082,                  0.623,                 1.3087,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.3629,                0.58666,                 1.1365,                0.96046,                0.96468,                0.95915,                0.54601,                 1.5835,                0.60596,                 1.2823,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.3125,                0.57612,                 1.1242,                0.96266,                0.96699,                0.96446,                 0.5459,                  1.599,                0.60761,                 1.3009,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.3293,                0.55188,                 1.1699,                0.95541,                0.96681,                0.96316,                0.55514,                 1.5492,                0.59353,                 1.2679,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.2944,                0.53134,                 1.1427,                0.95836,                0.96624,                0.96097,                0.54263,                 1.5504,                0.59224,                 1.2556,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.3178,                0.53077,                 1.1309,                0.95695,                0.96766,                0.95883,                0.54662,                 1.5418,                0.58261,                 1.2647,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.2551,                0.52954,                  1.124,                 0.9579,                0.97341,                0.96265,                0.53682,                 1.5466,                0.58529,                 1.2689,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.2538,                0.52132,                 1.1209,                0.96113,                0.96766,                0.95854,                0.54799,                 1.5332,                0.58618,                 1.2616,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.2448,                0.52449,                 1.1344,                 0.9606,                0.97063,                 0.9562,                0.55007,                  1.536,                0.58223,                 1.2589,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.2417,                0.50843,                 1.1373,                0.96408,                0.96946,                0.95719,                0.54414,                 1.5369,                0.58023,                 1.2671,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.2186,                 0.5024,                 1.0994,                 0.9615,                0.96822,                0.95702,                0.55692,                 1.5358,                0.57226,                   1.26,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.2188,                0.50427,                 1.1078,                 0.9612,                0.97063,                0.95678,                0.55245,                 1.5428,                0.57485,                 1.2659,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.2389,                0.50274,                 1.1257,                0.96438,                0.97063,                0.95665,                0.55097,                 1.5486,                0.57413,                 1.2689,             8.2683e-05,             8.2683e-05,             8.2683e-05
